vdr_id,seller
653,safford chrysler jeep dodge of fredericksburg
654,onesource/southwest remarketing
655,chrysler group/hertz/pv holding/000gd
656,enterprise vehicle exchange/st louis
657,overland west inc
658,wheels of fortune auto  inc
659,onemain rem/vossen motors
660,k&m northfield dodge
661,auto focus inc
662,southwest business corporation
663,enterprise vehicle exchange/davenport
664,automobiles n.c.
665,woodhouse ford inc
666,toyota of york
667,auto & truck direct
668,primeritus remarketing / trugrocer fcu
669,don jackson chrysler dodge jeep
670,oriental bank
671,c&f finance company
672,carworks inc
673,wheels ltd
674,ari
675,riverside auto sales inc
676,competition cars inc
677,world omni financial corporation
678,bellco fcu
679,remarketing by ge/tmt auto wholesale inc
680,a and d motors llc
681,stratford hyundai
682,five star bank
683,mike brown chrysler dodge jeep
684,victory auto
685,adk auto brokers inc
686,harry kaufmann motor cars inc
687,fifth third bank
688,excell auto center
689,adcock brothers inc
690,kevins marysville auto sales inc
691,young motors llc
692,kernersville chrysler dodge jeep
693,autohaus lancaster inc
694,supreme fcu
695,findlay volkswagen
696,huffines chrysler jeep dodge
697,autonation toyota north arlington
698,germain toyota of sarasota
699,performance chev subaru porsche
700,members auto lease inc
701,remarketing by ge/manheim chicago
702,motorlease corporation
703,wholesale inc # 2
704,braman motors
705,larry h miller toyota peoria
706,sullivan auto trading inc
707,don beyer volvo winchester
708,regional acceptance corporation / greenville
709,emkay inc
710,central auto sales
711,dollar rac/seattle
712,midwestern wheels inc
713,right toyota
714,automobile acceptance corp
715,eastern auto trading inc
716,royalton auto enterprises inc
717,mi joe auto sales
718,ally
719,expert auto group inc
720,desert toyota
721,fox automotive group inc
722,bmw of arlington
723,jm lexus
724,lester glenn buick
725,men car auto sales
726,d cars corp
727,toyota credit de puerto rico
728,germain toyota of naples/germain scion of naples
729,j zap llc
730,primeritus remarketing / carolinas telco fc
731,quality auto wholesale llc
732,tfp international inc
733,wayne auto sales inc
734,reliable financial services inc
735,the collection
736,kentland car co inc
737,fdic leasing
738,innovative auto llc
739,aaa car rental inc
740,capital honda
741,sam swope fiat
742,piazza acura of reading
743,lia honda
744,scotiabank de puerto rico
745,toyota of glen burnie
