year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,diaSemana,data,fuso_horario,zona
2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e03m009539,sc,2,148749,beige,beige,south carolina state credit union,3800,1200,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
2002,Ford,Focus,ZX5,Hatchback,automatic,3fafp37302r134491,sc,21,109475,white,gray,jd byrider/cnac,1950,1800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2001,BMW,M3,Base,Coupe,manual,wbsbl934x1jr10150,nc,36,110326,blue,gray,crossroads ford inc,10850,15000,Sunday,05-01-2014 09:00:00,GMT-0800,PST
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af8fh005775,ga,45,18128,white,gray,hyundai motor america,14650,15700,Monday,06-01-2014 09:30:00,GMT-0800,PST
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af8fh005761,ga,49,20444,white,gray,hyundai motor america,14450,15600,Monday,06-01-2014 09:30:00,GMT-0800,PST
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh005529,ga,46,22807,white,gray,hyundai motor america,14200,15600,Monday,06-01-2014 09:30:00,GMT-0800,PST
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a68fg566463,sc,5,16013,off-white,black,enterprise veh exchange/rental,18950,18500,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a32ec058742,sc,2,21680,burgundy,black,enterprise vehicle exchange / tra / rental / tulsa,13650,11500,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
2013,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek7ds642265,sc,48,30999,white,gray,enterprise veh exchange/rental,14200,15200,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sbxd7101635,sc,41,55209,white,black,the hertz corporation,9900,9500,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Ford,Escape,SE,SUV,automatic,1fmcu0g97dub27764,tn,48,17909,black,black,ford motor credit company llc,15900,17900,Wednesday,08-01-2014 11:00:00,GMT-0800,PST
2013,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2d5239487,sc,36,60259,white,black,dtg operations inc,11600,13300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae2du394620,sc,37,37929,silver,gray,enterprise veh exchange/rental,9700,9000,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Hyundai,Accent,SE,Hatchback,automatic,kmhcu5ae6du070606,ga,37,40320,gray,gray,hyundai motor america/co car,9250,9900,Monday,06-01-2014 09:30:00,GMT-0800,PST
